,participant,valence_diff,arousal_diff,mood_valence,mood_arousal,age,race,gender,key
0,105,-0.1993355481727574,-0.2757475083056477,1.0,-1.0,23,Caucasian (or White),Male,1
1,133,-0.6777408637873754,1.730897009966777,-1.0,0.0,73,Caucasian (or White),Male,0
2,151,1.691029900332226,-0.7807308970099669,0.0,-2.0,24,Caucasian (or White),Male,1
3,40,-1.1960132890365447,0.425249169435216,0.0,0.0,57,Caucasian (or White),Female,0
4,121,-0.7840531561461792,0.8405315614617943,0.0,0.0,49,Caucasian (or White),Female,0
5,213,-0.5282392026578071,1.1395348837209305,2.0,2.0,26,Caucasian (or White),Male,1
6,48,-0.6511627906976742,1.3355481727574752,0.0,0.0,52,Caucasian (or White),Female,0
7,78,-1.8039867109634549,0.2026578073089702,-2.0,-2.0,24,Caucasian (or White),Female,0
8,211,-0.5880398671096345,0.9933554817275748,0.0,0.0,26,Caucasian (or White),Female,1
9,161,-1.2857142857142856,1.3289036544850497,2.0,0.0,36,African American (or Black),Male,0
10,67,-0.9335548172757476,1.382059800664452,-2.0,2.0,57,Caucasian (or White),Female,0
11,82,-0.3621262458471759,0.1926910299003319,0.0,-1.0,57,Asian American (or Pacific Islander),Male,1
12,17,2.0963455149501664,-0.1794019933554818,2.0,2.0,31,Prefer not to answer,Female,1
13,65,-1.6312292358803988,0.2624584717607976,-1.0,0.0,74,African American (or Black),Female,0
14,96,0.8504983388704319,-0.9734219269102992,0.0,0.0,71,Caucasian (or White),Female,1
15,161,0.4019933554817276,-0.1395348837209304,2.0,0.0,36,African American (or Black),Male,0
16,130,-0.5016611295681064,0.1063122923588038,-2.0,2.0,58,African American (or Black),Female,0
17,132,0.0664451827242524,-1.1063122923588042,0.0,-1.0,31,Prefer not to answer,Male,0
18,257,0.3820598006644515,-0.7009966777408638,1.0,0.0,73,Native American (or American Indian),Male,1
19,105,0.1528239202657806,0.558139534883721,1.0,-1.0,23,Caucasian (or White),Male,0
20,193,-1.2259136212624586,0.0631229235880401,-1.0,-1.0,31,Caucasian (or White),Gender queer/Gender nonconforming,0
21,24,-0.7076411960132889,0.9767441860465116,0.0,-1.0,27,African American (or Black),Female,1
22,80,1.2790697674418603,0.1328903654485049,-1.0,0.0,40,African American (or Black),Male,1
23,93,-1.4983388704318936,0.6079734219269102,0.0,1.0,23,Caucasian (or White),Female,1
24,57,0.2026578073089702,-1.654485049833887,1.0,0.0,38,Caucasian (or White),Male,0
25,39,-1.4285714285714288,-0.1827242524916941,-2.0,0.0,57,African American (or Black),Female,0
26,172,0.13953488372093,-1.4518272425249168,1.0,0.0,49,Asian American (or Pacific Islander),Female,1
27,87,-0.6378737541528239,-0.0697674418604652,0.0,0.0,30,Caucasian (or White),Female,0
28,140,-0.8438538205980066,-0.2192691029900331,-1.0,-1.0,70,Caucasian (or White),Female,0
29,175,1.255813953488372,-0.3720930232558141,0.0,-2.0,24,Caucasian (or White),Male,0
30,135,0.9335548172757472,0.1694352159468439,0.0,0.0,54,Caucasian (or White),Male,0
31,11,0.4385382059800666,0.8039867109634553,-1.0,1.0,49,Caucasian (or White),Female,0
32,76,-1.926910299003322,0.2790697674418605,-2.0,-1.0,51,Caucasian (or White),Female,1
33,172,-0.5647840531561461,1.6279069767441865,0.0,-1.0,49,Asian American (or Pacific Islander),Female,0
34,161,-0.102990033222591,-0.6578073089700998,2.0,-1.0,36,African American (or Black),Male,0
35,8,0.3754152823920269,-0.0930232558139536,-2.0,-2.0,28,Asian American (or Pacific Islander),Female,1
36,292,-1.219269102990033,0.5847176079734222,0.0,0.0,39,Asian American (or Pacific Islander),Female,1
37,261,1.2857142857142856,-1.176079734219269,0.0,0.0,40,Caucasian (or White),Female,0
38,117,-1.8039867109634549,0.2026578073089702,0.0,1.0,41,Asian American (or Pacific Islander),Female,0
39,211,0.7176079734219267,-1.1029900332225917,0.0,0.0,26,Caucasian (or White),Female,0
40,289,-1.219269102990033,-0.0199335548172756,0.0,0.0,47,African American (or Black),Female,0
41,103,0.3720930232558137,-1.3588039867109636,0.0,-1.0,30,Caucasian (or White),Male,0
42,252,0.2093023255813952,-0.1827242524916945,0.0,1.0,59,Hispanic American (or Latino),Female,1
43,76,1.3687707641196014,0.0930232558139532,-2.0,0.0,51,Caucasian (or White),Female,0
44,280,-0.1262458471760799,-1.2358803986710964,0.0,-1.0,53,Caucasian (or White),Female,0
45,296,1.219269102990033,-0.6245847176079735,0.0,-2.0,27,African American (or Black),Male,1
46,238,0.2325581395348837,1.029900332225914,-2.0,-1.0,37,Hispanic American (or Latino),Female,1
47,58,0.0830564784053153,-1.2192691029900335,2.0,0.0,24,Caucasian (or White),Female,0
48,28,0.6212624584717605,-1.0498338870431896,0.0,0.0,44,Caucasian (or White),Female,0
49,147,-0.3122923588039867,-0.3687707641196012,-2.0,-2.0,36,African American (or Black),Female,1
50,178,0.2358803986710964,0.7076411960132889,0.0,-2.0,24,Caucasian (or White),Male,1
51,156,-0.4318936877076411,-0.727574750830565,2.0,1.0,69,Caucasian (or White),Female,1
52,49,0.5415282392026581,1.2358803986710964,1.0,-1.0,46,Caucasian (or White),Female,1
53,193,1.0598006644518274,0.8837209302325584,0.0,1.0,31,Caucasian (or White),Gender queer/Gender nonconforming,1
54,109,-0.6677740863787376,0.043189368770764,1.0,1.0,49,Caucasian (or White),Male,1
55,74,1.5780730897009967,-0.2259136212624586,0.0,-1.0,39,Caucasian (or White),Female,1
56,260,0.1528239202657806,-0.8039867109634553,1.0,1.0,38,Caucasian (or White),Female,0
57,294,0.7109634551495017,-1.1893687707641196,-1.0,-1.0,28,Asian American (or Pacific Islander),Male,0
58,242,0.8073089700996678,-1.3056478405315612,-2.0,0.0,22,African American (or Black),Transgender,0
59,56,0.8538205980066444,-0.581395348837209,0.0,-1.0,70,African American (or Black),Transgender,1
60,34,1.1262458471760797,-1.096345514950166,-1.0,2.0,48,Mixed race or ethnicity,Female,1
61,61,2.189368770764119,-0.867109634551495,1.0,0.0,59,Caucasian (or White),Male,1
62,27,-0.8471760797342194,0.3554817275747508,0.0,0.0,27,Caucasian (or White),Male,1
63,285,1.0232558139534884,-0.7375415282392028,1.0,2.0,39,Caucasian (or White),Female,0
64,243,-0.0132890365448505,0.1428571428571428,2.0,2.0,63,Caucasian (or White),Female,0
65,82,-0.4352159468438539,-0.1860465116279068,1.0,0.0,57,Asian American (or Pacific Islander),Male,1
66,32,0.3554817275747508,-0.0033222591362123,0.0,0.0,29,Caucasian (or White),Female,0
67,118,-2.0498338870431896,0.7574750830564785,-1.0,0.0,59,Caucasian (or White),Female,0
68,191,-1.3222591362126246,0.558139534883721,-2.0,-1.0,70,Native American (or American Indian),Male,1
69,255,1.4717607973421925,-0.8405315614617939,1.0,0.0,46,Caucasian (or White),Female,1
70,36,0.5548172757475083,0.9734219269102992,2.0,1.0,49,Caucasian (or White),Female,1
71,67,-0.2624584717607976,0.176079734219269,-2.0,2.0,57,Caucasian (or White),Female,1
72,297,0.036544850498339,-0.3554817275747508,1.0,1.0,35,Asian American (or Pacific Islander),Female,0
73,289,0.4219269102990033,1.1893687707641196,0.0,0.0,47,African American (or Black),Female,1
74,188,0.6445182724252492,-0.1328903654485049,2.0,2.0,53,Caucasian (or White),Male,0
75,205,-0.5647840531561461,-0.0531561461794023,-1.0,-1.0,84,Caucasian (or White),Male,0
76,186,0.9568106312292356,-0.0232558139534884,-2.0,0.0,33,African American (or Black),Male,1
77,113,-0.970099667774086,0.7342192691029901,-1.0,-1.0,55,Prefer not to answer,Male,1
78,69,-1.521594684385382,0.5049833887043191,-1.0,2.0,19,Asian American (or Pacific Islander),Male,1
79,267,0.1129568106312293,-0.0697674418604648,-1.0,-1.0,29,Asian American (or Pacific Islander),Female,0
80,255,-1.3754152823920265,1.0199335548172757,-1.0,-1.0,46,Caucasian (or White),Female,1
81,216,0.9435215946843852,0.8073089700996681,2.0,0.0,51,Caucasian (or White),Male,1
82,141,0.0299003322259134,0.7541528239202657,0.0,0.0,60,Caucasian (or White),Female,1
83,195,1.5880398671096343,0.1196013289036543,2.0,0.0,71,Caucasian (or White),Female,1
84,66,0.3122923588039867,0.7707641196013291,0.0,0.0,64,Caucasian (or White),Female,1
85,135,1.717607973421927,-1.1794019933554818,0.0,0.0,54,Caucasian (or White),Male,0
86,217,-1.9102990033222595,0.0897009966777409,0.0,-1.0,61,Caucasian (or White),Male,0
87,97,-0.6777408637873754,-1.2724252491694354,-2.0,-1.0,26,Caucasian (or White),Male,0
88,247,0.8405315614617939,-0.4119601328903655,-2.0,-1.0,26,Caucasian (or White),Female,0
89,51,-1.4186046511627906,0.4152823920265782,0.0,0.0,23,African American (or Black),Female,0
90,94,-0.6112956810631229,1.116279069767442,0.0,0.0,58,Caucasian (or White),Female,1
91,114,1.1926910299003324,-0.4518272425249172,1.0,1.0,55,African American (or Black),Female,1
92,298,1.9102990033222595,-0.0897009966777409,0.0,0.0,25,Asian American (or Pacific Islander),Female,1
93,190,0.8471760797342189,-0.5382059800664454,0.0,0.0,64,Caucasian (or White),Female,1
94,234,-0.6843853820598009,0.5116279069767442,1.0,0.0,48,Caucasian (or White),Male,1
